idade,genero,renda_mensal
67,M,17546
35,F,4776
29,F,14748
31,F,16362
34,M,5801
61,M,3363
66,F,10539
69,F,14425
25,F,1997
41,M,19997
41,F,11347
30,F,13092
54,M,17933
46,F,9437
29,F,9992
46,M,9414
24,F,12818
33,M,12840
29,M,18895
51,M,9710
56,F,1686
35,F,2518
18,M,9704
40,M,7196
42,M,7101
31,F,4351
40,F,19478
47,F,16703
26,M,18784
52,M,9911
65,M,2533
60,F,9076
35,M,15179
50,M,17462
22,M,18419
36,F,19038
26,F,14018
56,M,15871
58,F,16868
37,M,18780
68,M,6944
58,M,16999
40,F,8194
45,M,8740
31,F,6365
29,M,6876
49,M,2761
42,M,8237
46,M,11851
25,F,4683
55,M,14645
33,M,19237
69,F,6814
32,F,7799
18,F,19894
42,F,10599
67,F,17447
48,F,16096
55,F,15473
54,M,3423
70,F,10261
39,F,14882
39,M,14415
56,M,4396
69,M,17740
36,F,11459
33,M,11415
51,F,10875
51,F,10313
37,F,13545
23,M,1873
26,F,17144
20,F,17475
51,F,19978
41,F,12538
23,M,4207
70,M,7437
62,M,3003
53,M,13004
22,F,7885
27,F,4780
42,M,10104
23,F,12145
27,M,11270
28,F,16957
62,M,2117
38,M,11794
36,F,14560
45,M,4474
59,M,11649
58,F,15531
30,F,14826
43,F,9094
58,M,6970
38,M,18577
58,F,9359
23,M,3335
62,F,14593
38,M,6837
25,F,17450
45,F,15504
44,M,6972
35,M,15572
69,F,8061
60,F,2990
64,F,9035
52,F,7644
67,F,19608
40,M,4157
70,M,7874
43,M,12233
24,M,7978
53,F,6801
39,M,3977
70,M,14141
69,M,14984
19,F,8020
52,M,5064
41,M,14750
22,F,6820
32,M,1554
46,F,8193
20,F,13045
69,M,7311
69,F,13582
27,F,18929
65,F,10201
54,F,12896
41,F,6282
67,M,16980
44,F,11800
29,M,5888
65,M,16998
31,M,17023
27,M,7485
34,M,2231
52,M,2553
28,M,4493
47,M,4141
49,M,5939
33,F,11972
